STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-08,0,",,7,2100",0,",,7",1,",,7",44,",,7",21,",,7",38,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-09,0.31,",,7,2100",3.4,",,7",4,",,7",39,",,7",27,",,7",27,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-10,0,",,7,2100",0,",,7",2,",,7",30,",,7",20,",,7",20,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-11,0,",,7,2100",0,",,7",2,",,7",22,",,7",16,",,7",17,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-12,0.03,",,7,2100",0.5,",,7",3,",,7",25,",,7",5,",,7",20,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-13,0,",,7,2100",0,",,7",2,",,7",22,",,7",10,",,7",10,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-14,0,",,7,2100",0,",,7",2,",,7",18,",,7",7,",,7",16,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-15,0.1,",,7,2100",2.5,",,7",4,",,7",25,",,7",15,",,7",25,",,7,2100",,,,,,,,,1,",,7",1,",,7",,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-16,1.75,",,7,2100",0,",,7",3,",,7",42,",,7",25,",,7",37,",,7,2100",,,,,,,,,,,1,",,7",,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-17,0,",,7,2100",0,",,7",2,",,7",41,",,7",32,",,7",32,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-18,0,",,7,2100",0,",,7",1,",,7",32,",,7",19,",,7",19,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-19,0,",,7,2100",0,",,7",0,"T,,7",38,",,7",15,",,7",35,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-20,0,",,7,2100",0,",,7",0,"T,,7",60,",,7",30,",,7",51,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-21,0.05,",,7,2100",0,",,7",0,",,7",52,",,7",36,",,7",36,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-22,0,",,7,2100",0,",,7",0,",,7",46,",,7",27,",,7",35,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-23,0.07,",,7,2100",0,",,7",0,",,7",35,",,7",31,",,7",35,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-24,0.96,",,7,2100",0,",,7",0,",,7",51,",,7",33,",,7",45,",,7,2100",,,,,,,1,",,7",,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-25,0.01,",,7,2100",0,",,7",0,",,7",47,",,7",33,",,7",33,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-26,0,",,7,2100",0,",,7",0,",,7",35,",,7",19,",,7",35,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-27,0,",,7,2100",0,",,7",0,",,7",43,",,7",23,",,7",35,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-28,0,",,7,2100",0,",,7",0,",,7",64,",,7",32,",,7",45,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-02-29,0,"T,,7,2100",0,",,7",0,",,7",54,",,7",34,",,7",44,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-01,0,",,7,2100",0,",,7",0,",,7",62,",,7",33,",,7",57,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-02,0,",,7,2100",0,",,7",0,",,7",57,",,7",27,",,7",27,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-03,0,"T,,7,2100",0,"T,,7",0,",,7",36,",,7",23,",,7",29,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-04,0.1,",,7,2100",0.3,",,7",0,",,7",37,",,7",29,",,7",36,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-05,0,",,7,2100",0,",,7",0,",,7",39,",,7",31,",,7",35,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-06,0,",,7,2100",0,",,7",0,",,7",47,",,7",31,",,7",31,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-07,0,",,7,2100",0,",,7",0,",,7",66,",,7",26,",,7",50,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-08,0,",,7,2100",0,",,7",0,",,7",76,",,7",45,",,7",56,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-09,0,",,7,2100",0,",,7",0,",,7",78,",,7",39,",,7",62,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-10,0,",,7,2100",0,",,7",0,",,7",78,",,7",55,",,7",66,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-11,0,",,7,2100",0,",,7",0,",,7",68,",,7",37,",,7",52,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-12,0,"T,,7,2100",0,",,7",0,",,7",56,",,7",45,",,7",50,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-13,0.06,",,7,2100",0,",,7",0,",,7",55,",,7",47,",,7",47,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-14,0.5,",,7,2100",0,",,7",0,",,7",48,",,7",43,",,7",45,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-15,0.07,",,7,2100",0,",,7",0,",,7",55,",,7",41,",,7",47,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-16,0,",,7,2100",0,",,7",0,",,7",70,",,7",39,",,7",63,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-17,0.03,",,7,2100",0,",,7",0,",,7",63,",,7",41,",,7",52,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-18,0,",,7,2100",0,",,7",0,",,7",60,",,7",36,",,7",53,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-19,0.06,",,7,2100",0,",,7",0,",,7",54,",,7",34,",,7",35,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-20,0,",,7,2100",0,",,7",0,",,7",40,",,7",33,",,7",36,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-21,0,",,7,2100",0,",,7",0,",,7",46,",,7",30,",,7",36,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-22,0,",,7,2100",0,",,7",0,",,7",57,",,7",28,",,7",48,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-23,0,",,7,2100",0,",,7",0,",,7",70,",,7",38,",,7",53,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-24,0.03,",,7,2100",0,",,7",0,",,7",74,",,7",41,",,7",68,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-25,0,",,7,2100",0,",,7",0,",,7",68,",,7",40,",,7",45,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-26,0,",,7,2100",0,",,7",0,",,7",56,",,7",29,",,7",50,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-27,0,",,7,2100",0,",,7",0,",,7",55,",,7",36,",,7",50,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-28,0.72,",,7,2100",0,",,7",0,",,7",61,",,7",46,",,7",47,",,7,2100",,,,,,,,,,,,,1,",,7"
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-29,0,",,7,2100",0,",,7",0,",,7",55,",,7",34,",,7",48,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-30,0,",,7,2100",0,",,7",0,",,7",60,",,7",28,",,7",55,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-03-31,0,",,7,2100",0,",,7",0,",,7",70,",,7",46,",,7",66,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-01,0,"T,,7,2100",0,",,7",0,",,7",79,",,7",61,",,7",62,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-02,0,",,7,2100",0,",,7",0,",,7",62,",,7",27,",,7",41,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-03,0,"T,,7,2100",0,"T,,7",0,",,7",46,",,7",29,",,7",37,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-04,0.1,",,7,2100",0,",,7",0,",,7",60,",,7",28,",,7",32,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-05,0,",,7,2100",0,",,7",0,",,7",43,",,7",25,",,7",40,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-06,0,",,7,2100",0,",,7",0,",,7",53,",,7",24,",,7",50,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-07,0.45,",,7,2100",0,",,7",0,",,7",56,",,7",45,",,7",45,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-08,0,",,7,2100",0,",,7",0,",,7",48,",,7",34,",,7",40,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-09,0.1,",,7,2100",0,"T,,7",0,",,7",44,",,7",26,",,7",30,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-10,0,",,7,2100",0,",,7",0,",,7",46,",,7",22,",,7",40,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-11,0.11,",,7,2100",0,",,7",0,",,7",68,",,7",40,",,7",60,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-12,0,",,7,2100",0,",,7",0,",,7",63,",,7",47,",,7",47,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-13,0,",,7,2100",0,",,7",0,",,7",54,",,7",31,",,7",46,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-14,0,",,7,2100",0,",,7",0,",,7",61,",,7",32,",,7",54,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-15,0,",,7,2100",0,",,7",0,",,7",64,",,7",37,",,7",52,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-16,0,",,7,2100",0,",,7",0,",,7",69,",,7",37,",,7",53,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-17,0,",,7,2100",0,",,7",0,",,7",75,",,7",43,",,7",63,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-18,0,",,7,2100",0,",,7",0,",,7",82,",,7",45,",,7",66,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-19,0,",,7,2100",0,",,7",0,",,7",77,",,7",48,",,7",60,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-20,0,",,7,2100",0,",,7",0,",,7",68,",,7",38,",,7",56,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-21,0.01,",,7,2100",0,",,7",0,",,7",68,",,7",42,",,7",58,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-22,0.04,",,7,2100",0,",,7",0,",,7",72,",,7",51,",,7",60,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-23,0.14,",,7,2100",0,",,7",0,",,7",68,",,7",48,",,7",55,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-24,0,",,7,2100",0,",,7",0,",,7",67,",,7",36,",,7",51,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-25,0,",,7,2100",0,",,7",0,",,7",78,",,7",40,",,7",64,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-26,0,",,7,2100",0,",,7",0,",,7",80,",,7",55,",,7",66,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-27,0.06,",,7,2100",0,",,7",0,",,7",68,",,7",47,",,7",52,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-28,0.43,",,7,2100",0,",,7",0,",,7",52,",,7",43,",,7",44,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-29,0.07,",,7,2100",0,",,7",0,",,7",51,",,7",44,",,7",48,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-04-30,0,"T,,7,2100",0,",,7",0,",,7",55,",,7",45,",,7",50,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-05-01,0.7,",,7,2100",0,",,7",0,",,7",57,",,7",48,",,7",52,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-05-02,0.06,",,7,2100",0,",,7",0,",,7",80,",,7",51,",,7",62,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-05-03,0.6,",,7,2100",0,",,7",0,",,7",66,",,7",53,",,7",62,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-05-04,0.65,",,7,2100",0,",,7",0,",,7",62,",,7",52,",,7",52,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-05-05,0,"T,,7,2100",0,",,7",0,",,7",57,",,7",48,",,7",54,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-05-06,0.43,",,7,2100",0,",,7",0,",,7",55,",,7",50,",,7",50,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-05-07,0.07,",,7,2100",0,",,7",0,",,7",62,",,7",48,",,7",53,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-05-08,0,",,7,2100",0,",,7",0,",,7",67,",,7",52,",,7",58,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-05-09,0,"T,,7,2100",0,",,7",0,",,7",61,",,7",42,",,7",54,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-05-10,0.1,",,7,2100",0,",,7",0,",,7",56,",,7",49,",,7",53,",,7,2100",,,,,,,,,,,,,,
USC00361354,"CHAMBERSBURG, PA US",39.9353,-77.6394,195.1,2016-05-11,0.03,",,7,2100",0,",,7",0,",,7",60,",,7",51,",,7",58,",,7,2100",,,,,,,,,,,,,,
